1329 iシェアーズ・コア 日経225ETF,1364 ｉシェアーズ JPX日経400 ETF,1369 One ETF 日経225
-1070.0,-140.0,-1010.0
-230.0,30.0,-230.0
-620.0,-260.0,-620.0
-150.0,-280.0,-100.0
-380.0,-160.0,-450.0
130.0,180.0,140.0
-430.0,70.0,-430.0
180.0,-20.0,220.0
480.0,170.0,460.0
-60.0,90.0,-90.0
-480.0,10.0,-430.0
190.0,-40.0,180.0
-430.0,0.0,-410.0
-130.0,-110.0,-150.0
-550.0,100.0,-540.0
220.0,-110.0,220.0
120.0,0.0,100.0
50.0,120.0,80.0
220.0,-360.0,220.0
170.0,-70.0,130.0
150.0,10.0,130.0
160.0,190.0,160.0
-70.0,0.0,-10.0
-240.0,30.0,-200.0
140.0,-110.0,60.0
-110.0,190.0,-90.0
-60.0,60.0,-40.0
30.0,140.0,0.0
-470.0,290.0,-450.0
20.0,-20.0,-20.0
-220.0,-110.0,-200.0
390.0,-480.0,450.0
-50.0,40.0,-90.0
230.0,-410.0,180.0
-330.0,50.0,-280.0
580.0,-150.0,590.0
-240.0,-170.0,-250.0
470.0,370.0,430.0
320.0,50.0,340.0
-50.0,-240.0,50.0
-80.0,40.0,-110.0
-870.0,-630.0,-960.0
100.0,30.0,140.0
-620.0,-260.0,-620.0
100.0,-40.0,120.0
-130.0,-70.0,-130.0
-190.0,-210.0,-200.0
300.0,190.0,320.0
270.0,-10.0,260.0
-440.0,20.0,-420.0
100.0,20.0,130.0
-940.0,80.0,-950.0
50.0,180.0,0.0
-330.0,80.0,-300.0
-160.0,40.0,-180.0
-140.0,170.0,-140.0
-200.0,310.0,-120.0
20.0,160.0,-40.0
130.0,190.0,20.0
350.0,-70.0,450.0
-220.0,100.0,-190.0
240.0,80.0,230.0
60.0,-160.0,50.0
